Write ^vb++++=Write
a ^at++++=a
P5 ^np+++??+=P5
js ^nns+++??+=js
script ^nn++++=script
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
a ^at++++=a
single ^jj+atrb+++=single
snowflake ^nn+++??+=snowflake
falling ^vwbg+++xvbg+=falling
from ^in++++=from
the ^ati++++=the
top ^jjb++++=top
and ^cc+cls+++=and
when ^wrb+who+++=when
it ^pp3+it+++=it
disappears ^vbz+seem+++=disappears
off ^in+pl+++=off
the ^ati++++=the
bottom ^jjb++++=bottom
it ^pp3+it+++=it
reappears ^vbz+seem+++=reappears
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
. ^zz++++=.
