Write ^vb++++=Write
a ^at++++=a
Related ^jj+atrb++xvbn+=Related
Work ^nn++++=Work
section ^nn+nom+++=section
contextualizing ^vwbg+++xvbg+=contextualizing
my ^pp$+pp1+++=my
paper ^nn++++=paper
in ^in++++=in
the ^ati++++=the
area ^nn++++=area
of ^in++++=of
Physically ^rb++++=Physically
Informed ^vbn+vpub++xvbn+=Informed
Neural ^np+++??+=Neural
Networks ^nns++++=Networks
( ^zz++++=(
Pinns ^np++++=PINNs
) ^zz++++=)
. ^zz++++=.
My ^pp$+pp1+++=My
paper ^nn++++=paper
presents ^vbz++++=presents
an ^at++++=an
approach ^nn++++=approach
to ^to++++=to
evolve ^vbi++++=evolve
an ^at++++=an
initial ^jj+atrb+++=initial
neural ^nn++++=neural
implicit ^jj+atrb+++=implicit
surface ^nn++++=surface
using ^vbg+++xvbg+=using
the ^ati++++=the
level ^nn++++=level-set
- ^zz++++=EXTRAWORD
set ^vpsv++agls+xvbn+=EXTRAWORD
equation ^nn+nom+++=equation
. ^zz++++=.
