Write ^vb++++=Write
a ^at++++=a
cold ^jj+atrb+++=cold
email ^nn+++??+=email
promoting ^vwbg+++xvbg+=promoting
my ^pp$+pp1+++=my
services ^nns++++=services
that ^tht+rel+subj++=that
help ^vb++++=help
banks ^nns++++=banks
buy ^vb++++=buy
" ^zz++++="
Individual ^jj+atrb+++=Individual
Ggl ^np+++??+=GGL
Portions ^nns+nom+++=Portions
" ^zz++++="
( ^zz++++=(
also ^rb++++=also
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
guaranteed ^jj+atrb++xvbn+=guaranteed
portions ^nns+nom+++=portions
of ^in++++=of
individual ^jj+atrb+++=individual
loans ^nns++++=loans
guaranteed ^vwbn+++xvbn+=guaranteed
by ^in++++=by
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
Department ^nn+nom+++=Department
of ^in++++=of
Agriculture ^nn++++=Agriculture
and ^cc++++=and
Small ^jj+atrb+++=Small
Business ^nns+nom+++=Business
Administration ^nn+nom+++=Administration
) ^zz++++=)
to ^in++++=to
community ^nn+nom+++=community
bank ^nn++++=bank
chief ^jjb+atrb+++=Chief
financial ^jj+atrb+++=Financial
officers ^nns+nom+++=Officers
in ^in++++=in
virginia ^np++++=Virginia
. ^zz++++=.
