Generate ^nn+nom+++=Generate
a ^at++++=a
test ^nn++++=test
on ^in++++=on
Bernard ^nn++++=Bernard
Malamud ^np+++??+=Malamud
' ^zz++++='
s ^zz++++=s
short ^jj+atrb+++=short
story ^nn++++=story
A ^at++++=A
Summer ^nn++++=Summer
' ^zz++++='
s ^zz++++=s
Reading ^vwbg+++xvbg+=Reading
. ^zz++++=.
Use ^nn++++=Use
lots ^nns++++=lots
and ^cc++++=and
hots ^vbz++++=hots
questions ^nns+nom+++=questions
level ^nn++++=level
b1 ^nn+++??+=b1
. ^zz++++=.
Use ^nn++++=Use
multiple ^jj+atrb+++=multiple
choice ^nn++++=choice
and ^cc++++=and
open ^vb++++=open
ended ^vbd+++xvbn+=ended
questions ^nns+nom+++=questions
. ^zz++++=.
add ^vb+vpub+++=Add
2 ^zz++++=2
can ^md+pos+++=can
do ^vb+do+vrb++=do
descriptors ^nns++++=descriptors
cefr ^np++++=CEFR
. ^zz++++=.
