Write ^vb++++=Write
an ^at++++=an
academic ^jj+atrb+++=academic
essay ^nn++++=essay
that ^tht+rel+subj++=that
directly ^rb++++=directly
addresses ^nns+nom+++=addresses
the ^ati++++=the
prompt ^nn++++=prompt
with ^in++++=with
a ^at++++=a
clear ^jj+atrb+++=clear
central ^jj+atrb+++=central
idea ^nn++++=idea
, ^zz++++=,
supported ^xvbn+++xvbn+=supported
by ^in++++=by
evidence ^nn+nom+++=evidence
, ^zz++++=,
reasoning ^nvbg+++xvbg+=reasoning
, ^zz++++=,
and ^cc+cls+++=and
scholarship ^nn+nom+++=scholarship
. ^zz++++=.
Use ^nn++++=Use
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
example ^nn++++=example
, ^zz++++=,
and ^cc+cls+++=and
write ^vb++++=write
for ^in++++=for
a ^at++++=a
well ^rb++++=well-informed
- ^zz++++=EXTRAWORD
informed ^jj+atrb++xvbn+=EXTRAWORD
audience ^nn+nom+++=audience
. ^zz++++=.
Demonstrate ^nn+nom+++=Demonstrate
skillful ^jj+atrb+++=skillful
cohesion ^nn++++=cohesion
and ^cc++++=and
paragraphing ^xvbg+++xvbg+=paragraphing
using ^vbg+++xvbg+=using
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
vocabulary ^nn+nom+++=vocabulary
, ^zz++++=,
structures ^nns++++=structures
, ^zz++++=,
and ^cc+cls+++=and
language ^nn+nom+++=language
. ^zz++++=.
The ^ati++++=The
essay ^nn++++=essay
question ^nn+nom+++=question
is ^vbz+bez+vrb++=is
: ^zz++++=:
The ^ati++++=The
person ^nn++++=person
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
afraid ^jj++++=afraid
to ^to+jcmp+++=to
contradict ^vbi++++=contradict
is ^vbz+bez+vrb++=is
yourself ^ppl+pp2+++=yourself
. ^zz++++=.
to ^to++++=To
what ^wdt+who+++=what
extent ^nn++++=extent
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
agree ^vb+vpub+++=agree
or ^cc+phrs+++=or
disagree ^nn+nom+++=disagree
? ^zz++++=?
