Why ^wrb+who+++=Why
is ^vbz+bez+vrb++=is
Madison ^np+++??+=Madison
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
the ^ati++++=the
U ^zz++++=U
. ^zz++++=.
S ^zz++++=S
. ^zz++++=.
should ^md+nec+++=should
go ^vb++++=go
to ^in++++=to
war ^nn++++=war
with ^in++++=with
Great ^jj+atrb+++=Great
Britain ^np++++=Britain
? ^zz++++=?
Use ^nn++++=Use
Madison ^np+++??+=Madison
' ^zz++++='
s ^zz++++=s
War ^nn++++=War
message ^nn+nom+++=message
to ^in++++=to
Congress ^nns+nom+++=Congress
on ^in++++=on
june ^nr++++=June
1 ^zz++++=1
, ^zz++++=,
1812 ^cd+date+++=1812
to ^in++++=to
answer ^nn++++=answer
this ^dt+dem+++=this
question ^nn+nom+++=question
. ^zz++++=.
