Write ^vb++++=Write
me ^pp1o+pp1+++=me
10 ^cd++++=10
book ^nn++++=book
titles ^nns++++=titles
about ^in++++=about
surviving ^xvbg+++xvbg+=surviving
and ^cc++++=and
not ^xnot++not++=not
get ^vb++++=get
killed ^vpsv++by+xvbn+=killed
by ^in++++=by
a ^at++++=a
police ^nns++++=police
officer ^nn++++=officer
during ^in++++=during
a ^at++++=a
routine ^nn++++=routine
police ^nns++++=police
stop ^vb++++=stop
. ^zz++++=.
Make ^vb++++=Make
It ^pp3+it+++=it
Strong ^jj++++=strong
 ^zz++++=,
Attention ^nn+nom+++=attention
Getting ^vbg+++xvbg+=getting
And ^cc++++=and
Click ^nn++++=click
Baity ^nn++++=baity
 ^zz++++=.
