Write ^vb++++=Write
a ^at++++=a
comedic ^jj+atrb+++=comedic
scene ^nn++++=scene
in ^in++++=in
a ^at++++=a
play ^nn++++=play
where ^wrb+who+++=where
Colonel ^npt++++=Colonel
Hugh ^np++++=Hugh
Pickering ^np++++=Pickering
politely ^rb++++=politely
conceals ^nns+nom+++=conceals
his ^pp$+pp3+++=his
displeasure ^nn++++=displeasure
towards ^in++++=towards
Gotterdammerung ^np+++??+=Gotterdammerung
, ^zz++++=,
the ^ati++++=the
opera ^nn++++=opera
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
just ^rb+emph+splt++=just
seen ^vpsv++agls+xvbn+=seen
in ^in++++=in
the ^ati++++=the
opera ^nn++++=opera
house ^npl++++=house
. ^zz++++=.
