Hi ^uh++++=Hi
. ^zz++++=.
I ^pp1a+pp1+++=I
will ^md+prd+++=will
provide ^vb+vsua+tht0++=provide
you ^pp2+pp2+++=you
with ^in++++=with
the ^ati++++=the
tone ^nn++++=tone
of ^in++++=of
the ^ati++++=the
email ^nn+++??+=email
, ^zz++++=,
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
help ^vbi++++=help
me ^pp1o+pp1+++=me
create ^vb++++=create
a ^at++++=a
personalized ^nn++++=personalized
thank ^vb++++=thank
you ^pp2+pp2+++=you
email ^nn++++=email
after ^in++++=after
an ^at++++=an
interview ^nn++++=interview
. ^zz++++=.
