When ^wrb+who+++=When
it ^pp3+it+++=it
come ^vb++++=come
to ^in++++=to
Hs ^np+++??+=HS
codes ^nns++++=codes
, ^zz++++=,
can ^md+pos+++=can
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
the ^ati++++=the
descriptions ^nns+nom+++=descriptions
for ^in++++=for
the ^ati++++=the
levels ^nns++++=levels
and ^cc++++=and
number ^nn++++=number
of ^in++++=of
digit ^nn++++=digit
for ^in++++=for
each ^dt++++=each
level ^nn++++=level
? ^zz++++=?
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
think ^vb+vprv+++=think
like ^in++++=like
chapter ^nn++++=chapter
, ^zz++++=,
subchapter ^jjr++++=subchapter
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it
. ^zz++++=.
