Write ^vb++++=Write
an ^at++++=an
elaborate ^jj+atrb+++=elaborate
introduction ^nn+nom+++=introduction
for ^in++++=for
a ^at++++=a
paper ^nn++++=paper
on ^in++++=on
Predicting ^np+++??+=Predicting
Brugada ^np+++??+=Brugada
Syndrome ^np+++??+=Syndrome
without ^in++++=without
Ajmaline ^np+++??+=Ajmaline
with ^in++++=with
multi ^nn+++??+=multi-modal
- ^zz++++=EXTRAWORD
modal ^jj++++=EXTRAWORD
deep ^jj++++=deep
learning ^vb+++xvbg+=learning
that ^tht+vcmp+++=that
uses ^vbz++++=uses
baseline ^nn+++??+=baseline
electrocardiograms ^nns++++=electrocardiograms
and ^cc++++=and
polygenic ^jj++++=polygenic
risk ^vb++++=risk
scores ^nns++++=scores
as ^in++++=as
input ^nn++++=input
features ^nns++++=features
. ^zz++++=.
