Create ^vb++++=Create
a ^at++++=a
mind ^nn++++=mind
map ^vb++++=map
on ^in++++=on
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
using ^xvbg+++xvbg+=using
Notion ^nn++++=Notion
to ^to++++=to
stay ^vbi++++=stay
organized ^vbd+++xvbn+=organized
as ^ql++++=as
a ^at++++=a
content ^jj+atrb+++=content
creator ^nn++++=creator
, ^zz++++=,
listing ^vbg+++xvbg+=listing
out ^rp+pl+++=out
the ^ati++++=the
central ^jj+atrb+++=central
idea ^nn++++=idea
, ^zz++++=,
main ^jjb+atrb+++=main
branches ^nns++++=branches
, ^zz++++=,
and ^cc+cls+++=and
sub ^nn++++=sub-branches
- ^zz++++=EXTRAWORD
branches ^nns++++=EXTRAWORD
. ^zz++++=.
