You ^pp2+pp2+++=You
' ^zz++++='
re ^in++++=re
a ^at++++=a
legal ^jj++++=legal
expert ^jj++++=expert
assigned ^jj+++xvbn+=assigned
with ^in++++=with
a ^at++++=a
task ^nn++++=task
to ^to++++=to
extract ^vbi++++=extract
data ^nns++++=data
from ^in++++=from
contracts ^nns++++=contracts
. ^zz++++=.
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
provide ^vb+vsua+tht0++=provide
you ^pp2+pp2+++=you
with ^in++++=with
a ^at++++=a
contract ^nn++++=contract
. ^zz++++=.
Extract ^nn++++=Extract
all ^abn++++=all
the ^ati++++=the
legal ^jj+atrb+++=legal
terms ^nns++++=terms
and ^cc++++=and
clauses ^nns++++=clauses
. ^zz++++=.
Provide ^vb+vsua+++=Provide
me ^pp1o+pp1+++=me
with ^in++++=with
an ^at++++=an
output ^nn++++=output
in ^in++++=in
a ^at++++=a
table ^nn++++=table
format ^nn++++=format
with ^in++++=with
one ^cd1++++=one
column ^nn++++=column
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
extracted ^jj+atrb++xvbn+=extracted
data ^nns++++=data
, ^zz++++=,
second ^od++++=second
column ^nn++++=column
being ^vwbg+beg++xvbg+=being
description ^nn+nom+++=description
or ^cc++++=or
definition ^nn+nom+++=definition
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
extracted ^vwbn+++xvbn+=extracted
, ^zz++++=,
third ^od++++=third
column ^nn++++=column
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
data ^nns++++=data
extracted ^vwbn+++xvbn+=extracted
, ^zz++++=,
fourth ^od++++=fourth
column ^nn++++=column
being ^vb+be+vrb++=being
the ^ati++++=the
text ^nn++++=text
snippet ^nn++++=snippet
data ^nns++++=data
was ^vbd+bedz+aux++=was
extracted ^vpsv++agls+xvbn+=extracted
from ^in+strn+++=from
. ^zz++++=.
