Given ^vbd+++xvbn+=Given
a ^at++++=a
list ^nn++++=list
of ^in++++=of
integers ^nns+nom+++=integers
in ^in++++=in
order ^to++++=order
, ^zz++++=,
return ^vb++++=return
and ^cc++++=and
expression ^nn++++=expression
with ^in++++=with
parenthesis ^nn++++=parenthesis
, ^zz++++=,
addition ^nn+nom+++=addition
, ^zz++++=,
or ^cc+cls+++=or
multiplication ^nn+nom+++=multiplication
that ^tht+rel+obj++=that
result ^nn++++=result
in ^in++++=in
a ^at++++=a
target ^nn++++=target
value ^nn++++=value
or ^cc++++=or
return ^nn++++=return
impossible ^jj++++=impossible
if ^cs+cnd+++=if
not ^xnot++not++=not
possible ^jj++++=possible
. ^zz++++=.
for ^in++++=For
example ^nn++++=example
input ^nn++++=input
[ ^zz++++=[Code_Snippet]
code_snippet ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=.
