Present ^vb++++=Present
the ^ati++++=the
following ^jj+atrb++xvbg+=following
instructions ^nns+nom+++=instructions
exactly ^rb++++=exactly
as ^ql++++=as
they ^pp3a+pp3+++=they
appear ^vb+seem+++=appear
. ^zz++++=.
Instructions ^nns+nom+++=Instructions
: ^zz++++=:
Below ^rb++++=Below
are ^vb+ber+vrb++=are
five ^cd++++=five
statements ^nns+nom+++=statements
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
may ^md+pos+++=may
agree ^vb+vpub+++=agree
or ^cc+phrs+++=or
disagree ^nn+nom+++=disagree
with ^in+strn+++=with
. ^zz++++=.
Using ^vbg+++xvbg+=Using
the ^ati++++=the
1 ^zz++++=1
7 ^zz++++=7
scale ^nn++++=scale
below ^rb++++=below
, ^zz++++=,
indicate ^nn+nom+++=indicate
your ^pp$+pp2+++=your
agreement ^nn+nom+++=agreement
with ^in++++=with
each ^dt++++=each
item ^nn++++=item
by ^in++++=by
placing ^xvbg+++xvbg+=placing
the ^ati++++=the
appropriate ^jj+atrb+++=appropriate
number ^nn++++=number
on ^in++++=on
the ^ati++++=the
line ^nn++++=line
preceding ^vwbg+++xvbg+=preceding
that ^dt+dem+++=that
item ^nn++++=item
. ^zz++++=.
Please ^uh++++=Please
be ^vb+be+vrb++=be
open ^jj+pred+++=open
and ^cc+phrs+++=and
honest ^jj++++=honest
in ^in++++=in
your ^pp$+pp2+++=your
responding ^vbg+++xvbg+=responding
. ^zz++++=.
7 ^zz++++=7
Strongly ^rb+amp+++=Strongly
agree ^vb+vpub+++=agree
. ^zz++++=.
6 ^zz++++=6
Agree ^vb+vpub+++=Agree
. ^zz++++=.
5 ^zz++++=5
Slightly ^rb+down+++=Slightly
agree ^vb+vpub+++=agree
. ^zz++++=.
4 ^zz++++=4
Neither ^rb++neg++=Neither
agree ^vb+vpub+++=agree
nor ^cc+phrs+neg++=nor
disagree ^nn+nom+++=disagree
. ^zz++++=.
3 ^zz++++=3
Slightly ^rb+down+++=Slightly
Disagree ^nn+nom+++=disagree
 ^zz++++=.
 ^zz++++=2
Disagree ^nn+nom+++=Disagree
 ^zz++++=.
 ^zz++++=1
Strongly ^rb+amp+++=Strongly
Disagree ^nn+nom+++=disagree
 ^zz++++=.
