Can ^md+pos+++=Can
you ^pp2+pp2+++=you
provide ^vb+vsua+++=provide
a ^at++++=a
Linux ^np+++??+=Linux
command ^nn++++=command
using ^vwbg+++xvbg+=using
Git ^np+++??+=Git
that ^tht+rel+obj++=that
lists ^nns++++=lists
the ^ati++++=the
date ^nn++++=date
, ^zz++++=,
user ^nn++++=user
, ^zz++++=,
and ^cc+cls+++=and
commit ^vb++++=commit
message ^nn+nom+++=message
on ^in++++=on
a ^at++++=a
single ^jj+atrb+++=single
line ^nn++++=line
, ^zz++++=,
for ^in++++=for
every ^at++++=every
file ^nn++++=file
in ^in++++=in
a ^at++++=a
directory ^nn++++=directory
? ^zz++++=?
