How ^wrb+who+++=How
to ^to++++=to
differentiate ^nn+nom+++=differentiate
Enneagram ^np+++??+=Enneagram
? ^zz++++=?
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
confused ^vpsv++agls+xvbnx+=confused
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
type ^nn++++=type
3 ^zz++++=3
or ^cc++++=or
6 ^zz++++=6
or ^cc++++=or
9 ^zz++++=9
. ^zz++++=.
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
any ^dti++++=any
suggestions ^nns+nom+++=suggestions
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
discern ^vbi++++=discern
my ^pp$+pp1+++=my
type ^nn++++=type
? ^zz++++=?
share ^vb++++=Share
prompt ^jj++++=Prompt
. ^zz++++=.
