Create ^vb++++=Create
list ^nn++++=list
of ^in++++=of
system ^nn++++=system
prompts ^vbz++++=prompts
for ^in++++=for
Chatgpt ^np+++??+=ChatGPT
Api ^np+++??+=API
to ^in++++=to
interact ^nn+++??+=interact
with ^in++++=with
extracted ^vbd+++xvbn+=extracted
data ^nns++++=data
from ^in++++=from
an ^at++++=an
uploaded ^jj+atrb++xvbn+=uploaded
document ^nn+nom+++=document
, ^zz++++=,
include ^vb++++=include
summarization ^nn+nom+++=summarization
, ^zz++++=,
fact ^nn++++=fact
highlights ^nns++++=highlights
and ^cc++++=and
other ^ap++++=other
possible ^jj+atrb+++=possible
questions ^nns+nom+++=questions
for ^in++++=for
the ^ati++++=the
user ^nn++++=user
to ^to++++=to
ask ^vb++++=ask
. ^zz++++=.
