Write ^vb++++=Write
a ^at++++=a
story ^nn++++=story
about ^in++++=about
an ^at++++=an
airline ^nn++++=airline
pilot ^nn++++=pilot
who ^whp+rel+subj++=who
relies ^vbz++++=relies
on ^in++++=on
heroin ^nn++++=heroin
to ^to++++=to
get ^vbi++++=get
through ^in++++=through
his ^pp$+pp3+++=his
day ^nn++++=day
. ^zz++++=.
Today ^nr+tm+++=Today
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
flying ^vbg+++xvbgx+=flying
with ^in++++=with
a ^at++++=a
first ^rb++++=first
officer ^nn++++=officer
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
similarly ^rb+cnj+splt++=similarly
addicted ^vpsv++agls+xvbnx+=addicted
to ^to++++=to
meth ^vbi++++=meth
. ^zz++++=.
Midway ^rb++++=Midway
over ^in++++=over
the ^ati++++=the
Atlantic ^np++++=Atlantic
Ocean ^nn++++=Ocean
with ^in++++=with
a ^at++++=a
plane ^nn++++=plane
full ^jj++++=full
of ^in++++=of
passengers ^nns+nom+++=passengers
, ^zz++++=,
they ^pp3a+pp3+++=they
realize ^vb+vprv+++=realize
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
run ^vprf+++xvbn+=run
out ^rp+pl+++=out
of ^in++++=of
drugs ^nns++++=drugs
. ^zz++++=.
