Write ^vb++++=Write
a ^at++++=a
university ^nn+nom+++=university
level ^nn++++=level
creative ^jj+atrb+++=creative
story ^nn++++=story
essay ^nn++++=essay
length ^rb++++=length
inspired ^vpsv++by+xvbn+=inspired
by ^in++++=by
the ^ati++++=the
novel ^nn++++=novel
Flames ^nns++++=Flames
written ^vwbn+++xvbn+=written
by ^in++++=by
Robbie ^np++++=Robbie
Arnott ^np+++??+=Arnott
. ^zz++++=.
The ^ati++++=The
protagonist ^nn+nom+++=protagonist
in ^in++++=in
this ^dt+dem+++=this
story ^nn++++=story
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
seal ^nn++++=seal
mourning ^vwbg+++xvbg+=mourning
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father
but ^cc++++=but
add ^vb+vpub+++=add
in ^in++++=in
a ^at++++=a
twist ^nn++++=twist
near ^in+pl+++=near
the ^ati++++=the
end ^nn++++=end
. ^zz++++=.
Key ^jjb+atrb+++=Key
themes ^nns++++=themes
are ^vb+ber+vrb++=are
family ^nn++++=family
and ^cc++++=and
the ^ati++++=the
unforeseen ^jj+atrb+++=unforeseen
consequences ^nns+nom+++=consequences
of ^in++++=of
ones ^cd1s++++=ones
actions ^nns+nom+++=actions
. ^zz++++=.
