Convert ^vb++++=Convert
this ^dt+dem+++=this
into ^in++++=into
academic ^jj++++=academic
English ^jj++++=English
: ^zz++++=:
" ^zz++++="
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
shop ^nn++++=shop
and ^cc++++=and
bought ^vbd+++xvbn+=bought
some ^dti++++=some
eggs ^nns++++=eggs
. ^zz++++=.
After ^cs+sub+++=After
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
home ^nr++++=home
with ^in++++=with
them ^pp3o+pp3+++=them
, ^zz++++=,
I ^pp1a+pp1+++=I
cooked ^vbd+++xvbnx+=cooked
an ^at++++=an
omelette ^nn+nom+++=omelette
. ^zz++++=.
Of ^in++++=Of
my ^pp$+pp1+++=my
three ^cd++++=three
friends ^nns++++=friends
, ^zz++++=,
only ^rb+down+++=only
jake ^np++++=Jake
liked ^vbd+++xvbn+=liked
it ^pp3+it+++=it
. ^zz++++=.
" ^zz++++="
