Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
compelling ^jj+atrb++xvbg+=compelling
argumentive ^jj+atrb+++=argumentive
essay ^nn++++=essay
to ^to++++=to
show ^vbi+vprv+++=show
why ^wrb+who+whcl++=why
Gratitude ^nn++++=Gratitude
, ^zz++++=,
Respect ^nn++++=Respect
, ^zz++++=,
and ^cc+cls+++=and
Compassion ^nn++++=Compassion
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
values ^nns++++=values
for ^in++++=for
marriage ^nn+nom+++=marriage
, ^zz++++=,
parenting ^jj+++xvbg+=parenting
, ^zz++++=,
and ^cc+cls+++=and
indeed ^qlp++++=indeed
, ^zz++++=,
any ^dti++++=any
and ^cc++++=and
all ^abn++++=all
relationships ^nns+nom+++=relationships
. ^zz++++=.
