Pretend ^vb+vprv+++=Pretend
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
startup ^nn+++??+=startup
idea ^nn++++=idea
generator ^nn++++=generator
and ^cc++++=and
tell ^vb++++=tell
10 ^cd++++=10
out ^rp+pl+++=out
of ^in++++=of
box ^nn++++=box
ideas ^nns++++=ideas
that ^tht+ncmp+++=that
how ^wrb+who+++=how
Chatgpt ^np+++??+=ChatGPT
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
education ^nn+nom+++=education
, ^zz++++=,
students ^nns++++=students
, ^zz++++=,
teachers ^nns+nom+++=teachers
and ^cc++++=and
schools ^nns++++=schools
. ^zz++++=.
Like ^in++++=Like
can ^md+pos+++=can
we ^pp1a+pp1+++=we
built ^vbd+++xvbn+=built
some ^dti++++=some
plateform ^nn++++=plateform
or ^cc++++=or
use ^nn++++=use
it ^pp3+it+++=it
in ^in++++=in
some ^dti++++=some
other ^ap++++=other
way ^nn++++=way
? ^zz++++=?
