If ^cs+cnd+++=If
a ^at++++=a
file ^nn++++=file
was ^vbd+bedz+aux++=was
encrtpyed ^vpsv++agls+xvbnx+=encrtpyed
using ^vbg+++xvbg+=using
rail ^nn++++=rail
fence ^nn++++=fence
then ^rn+tm+++=then
Ceasar ^np+++??+=Ceasar
, ^zz++++=,
how ^wrb+who+whq++=how
would ^md+prd+++=would
you ^pp2+pp2+++=you
attempt ^vb++++=attempt
to ^to+vcmp+++=to
decrypt ^vbi++++=decrypt
the ^ati++++=the
encoded ^jj+atrb++xvbn+=encoded
message ^nn+nom+++=message
without ^in++++=without
guessing ^vbg+vprv+tht0+xvbg+=guessing
the ^ati++++=the
keys ^nns++++=keys
using ^vbg+++xvbg+=using
crypto ^nn++++=crypto
analysis ^nn++++=analysis
? ^zz++++=?
