Write ^vb++++=Write
a ^at++++=a
Christian ^jj+atrb+++=Christian
worship ^nn+nom+++=worship
song ^nn++++=song
that ^tht+rel+obj++=that
ends ^nns++++=ends
with ^in++++=with
the ^ati++++=the
lyrics ^nns++++=lyrics
" ^zz++++="
Never ^rb++++=Never
going ^md"++pmd"++=going
to ^md+prd+++=to
give ^vb++++=give
you ^pp2+pp2+++=you
up ^rp++++=up
Never ^rb++++=Never
going ^md"++pmd"++=going
to ^md+prd+++=to
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
down ^in++++=down
Never ^rb++++=Never
going ^md"++pmd"++=going
to ^md+prd+++=to
run ^vb+++xvbn+=run
around ^rb++++=around
and ^cc++++=and
desert ^nn++++=desert
you ^pp2+pp2+++=you
Never ^rb++++=Never
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make
you ^pp2+pp2+++=you
cry ^vb++++=cry
Never ^rb++++=Never
going ^md"++pmd"++=going
to ^md+prd+++=to
say ^vb+vpub+++=say
goodbye ^nn++++=goodbye
Never ^rb++++=Never
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
a ^at++++=a
lie ^nn++++=lie
and ^cc++++=and
hurt ^xvbn+++xvbn+=hurt
you ^pp2+pp2+++=you
" ^zz++++="
. ^zz++++=.
