Write ^vb++++=Write
a ^at++++=a
children ^nns++++=children
book ^nn++++=book
about ^in++++=about
a ^at++++=a
playful ^jj+atrb+++=playful
dog ^nn++++=dog
with ^in++++=with
one ^cd1++++=one
eye ^nn++++=eye
blue ^nn++++=blue
and ^cc++++=and
one ^cd1++++=one
eye ^nn++++=eye
yellow ^jj++++=yellow
, ^zz++++=,
who ^whp+rel+obj++=who
journey ^nn++++=journey
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
boy ^nn++++=boy
on ^in++++=on
family ^nn++++=family
vacation ^nn+nom+++=vacation
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest
. ^zz++++=.
