My ^pp$+pp1+++=My
Apple ^nn++++=Apple
Music ^nn++++=Music
subscription ^nn+nom+++=subscription
lapsed ^vbd+++xvbn+=lapsed
for ^in++++=for
1 ^zz++++=1
month ^nn++++=month
. ^zz++++=.
All ^abn++++=All
of ^in++++=of
my ^pp$+pp1+++=my
songs ^nns++++=songs
were ^vbd+bed+aux++=were
gone ^vpsv++agls+xvbnx+=gone
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
resumed ^vbd+++xvbnx+=resumed
the ^ati++++=the
Apple ^nn++++=Apple
subscription ^nn+nom+++=subscription
. ^zz++++=.
how ^wrb+who+whq++=How
do ^vb+do+vrb++=do
i ^pp1a+pp1+++=I
get ^vb++++=get
these ^dt+dem+++=these
songs ^nns++++=songs
back ^jjb++++=back
? ^zz++++=?
