Write ^vb++++=Write
an ^at++++=an
email ^nn+++??+=email
in ^in++++=in
German ^nn++++=German
to ^in++++=to
my ^pp$+pp1+++=my
supervisors ^nns++++=supervisors
at ^in++++=at
the ^ati++++=the
Technical ^jj+atrb+++=Technical
University ^nn+nom+++=University
of ^in++++=of
Cologne ^np++++=Cologne
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
ill ^jj+pred+++=ill
and ^cc++++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
stay ^vb++++=stay
at ^rb++++=at
home ^nr++++=home
until ^in++++=until
Friday ^nr++++=Friday
. ^zz++++=.
Also ^rb++++=Also
Mention ^nn+nom+++=mention
That ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
Got ^vbd+++xvbn+=got
An ^at++++=an
 ^zz++++="
Arbeitsunfhigkeitsbescheinigung ^np++++=Arbeitsunfhigkeitsbescheinigung
 ^zz++++="
 ^zz++++=.
