Write ^vb++++=Write
a ^at++++=a
screenplay ^nn+++??+=screenplay
about ^in++++=about
Barg ^np+++??+=Barg
and ^cc++++=and
Heather ^nn++++=Heather
, ^zz++++=,
a ^at++++=a
married ^jj+atrb++xvbn+=married
couple ^nn++++=couple
in ^in++++=in
Moorestown ^np+++??+=Moorestown
Nj ^np+++??+=NJ
. ^zz++++=.
A ^at++++=A
meteor ^nn++++=meteor
has ^vbz+hvz+aux++=has
struck ^vprf+++xvbnx+=struck
Earth ^nn++++=Earth
and ^cc++++=and
wiped ^vbd+++xvbn+=wiped
out ^rb+phrv+++=out
all ^rb++++=all
life ^nn++++=life
on ^in++++=on
the ^ati++++=the
planet ^nn++++=planet
except ^in++++=except
for ^in"++++=for
them ^pp3o+pp3+++=them
and ^cc++++=and
barg ^np++++=Barg
' ^zz++++='
s ^zz++++=s
father ^npt++++=father
ron ^np++++=Ron
. ^zz++++=.
