Write ^vb++++=Write
landing ^nvbg+++xvbg+=landing
page ^nn++++=page
copy ^nn++++=copy
, ^zz++++=,
encouraging ^jj++++=encouraging
a ^at++++=a
Ceo ^np+++??+=CEO
of ^in++++=of
a ^at++++=a
health ^nn++++=health
& ^zz++++=&
life ^nn++++=life
Science ^nn+nom+++=Science
startup ^nn+++??+=startup
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
quiz ^nn++++=quiz
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
pitch ^vb++++=pitch
a ^at++++=a
winning ^jj+atrb+++=winning
fundraising ^jj+atrb+++=fundraising
story ^nn++++=story
to ^in++++=to
investors ^nns++++=investors
. ^zz++++=.
