<file CEP_Info_0024> <domain INFO> <corpus CEP_Dias_2026>
What ^wdt+who+++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
is ^vbz+bez+vrb++=is
a ^at++++=a
diplomatic ^jj+atrb+++=diplomatic
way ^nn++++=way
to ^to++++=to
say ^vbi+vpub+++=say
? ^zz++++=?"
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
a ^at++++=a
bag ^nn++++=bag
of ^in++++=of
popcorn ^nn++++=popcorn
with ^in++++=with
no ^at++++=no
chocolate ^nn+nom+++=chocolate
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
label ^nn++++=label
on ^in++++=on
the ^ati++++=the
bag ^nn++++=bag
says ^vbz+vpub+++=says
" ^zz++++="chocolate"
chocolate ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
not ^xnot++not++=not
" ^zz++++="popcorn".
popcorn ^jj+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
finds ^vbz+vprv+++=finds
the ^ati++++=the
bag ^nn++++=bag
and ^cc++++=and
reads ^vbz++++=reads
the ^ati++++=the
label ^nn++++=label,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
cannot ^md+pos+not++=cannot
see ^vb+vprv+++=see
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
inside ^jjb+pred+++=inside.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thinks ^vbz+vprv+++=thinks
that ^tht+vcmp+++=that
the ^ati++++=the
bag ^nn++++=bag
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
__ ^nn+++??+=__.
. ^zz++++=EXTRAWORD
Explain ^vb+vpub+++=Explain
how ^wrb+who+whcl++=how
air ^nn++++=air
source ^nn++++=source
heat ^nn++++=heat
pumps ^nns++++=pumps
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
it ^pp3+it+++=it
simple ^jj++++=simple
so ^ql++++=so
that ^cs+sub+++=that
a ^at++++=a
customer ^nn+nom+++=customer
can ^md+pos+++=can
understand ^vb+vprv+tht0++=understand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
highlights ^vb++++=highlights
any ^dti++++=any
benefits ^nns++++=benefits
to ^in++++=to
the ^ati++++=the
customer ^nn+nom+++=customer.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
create ^vb++++=create
a ^at++++=a
product ^nn++++=product
roadmap ^nn+++??+=roadmap
for ^in++++=for
Instagram ^np+++??+=Instagram
stories ^nns++++=stories
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
increase ^vb++++=increase
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
posts ^nns++++=posts.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
be ^vb+be+vrb++=be
as ^ql++++=as
detailed ^jj++++=detailed
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whenever ^nn+nom+++=whenever
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
use ^nn++++=use
comparisons ^nns++++=comparisons
to ^in++++=to
other ^ap++++=other
tools ^nns++++=tools
such ^abl++++=such
as ^ql++++=as
Tiktok ^np+++??+=TikTok.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
authenticate ^nn+nom+++=authenticate
my ^pp$+pp1+++=my
Apollo ^np++++=Apollo
v4 ^nn+++??+=v4
server ^nn++++=server
using ^vwbg+++xvbg+=using
Jwt ^np+++??+=JWT,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
the ^ati++++=the
login ^nn+++??+=login
mutation ^nn+nom+++=mutation
to ^to++++=to
be ^vbi+vbi+aux++=be
unauthenticated ^vpsv++agls+xvbnx+=unauthenticated
but ^cc++++=but
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
queries ^nns+nom+++=queries
and ^cc++++=and
mutations ^nns+nom+++=mutations
