<file CEP_creative_0050> <domain CREATIVE> <corpus CEP_Dias_2026>
Act ^nn++++=Act
as ^ql++++=as
the ^ati++++=the
world ^nn++++=world's
's ^vbz+bez+vrb++0=EXTRAWORD
best ^jjt++++=best
recruiter ^jjr++++=recruiter.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
give ^vbi++++=give
me ^pp1o+pp1+++=me
3 ^zz++++=3
outreach ^nn+++??+=outreach
messages ^nns+nom+++=messages
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
use ^vb++++=use
on ^in++++=on
Linkedin ^np+++??+=LinkedIn
to ^to++++=to
connect ^vbi++++=connect
with ^in++++=with
potential ^jj+atrb+++=potential
candidates ^nns+nom+++=candidates.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
job ^nn++++=job
role ^nn++++=role
is ^vbz+bez+vrb++=is
for ^in++++=for
a ^at++++=a
senior ^jj+atrb+++=senior
business ^nns+nom+++=business
development ^nn+nom+++=development
manager ^nn++++=manager
in ^in++++=in
the ^ati++++=the
Web3 ^np+++??+=Web3
space ^nn++++=space.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
act ^nn++++=act
as ^in++++=as
a ^at++++=a
lesson ^nn++++=lesson
plan ^nn++++=plan
generator ^nn++++=generator
for ^in++++=for
English ^jj+atrb+++=English
language ^nn+nom+++=language
learners ^nns+nom+++=learners.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
provide ^vb+vsua+++=provide
the ^ati++++=the
topic ^nn++++=topic
and ^cc++++=and
level ^nn++++=level
of ^in++++=of
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
create ^vb++++=create
a ^at++++=a
detailed ^jj++++=detailed,
, ^zz++++=EXTRAWORD
step ^nn++++=step-by-step
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
lesson ^nn++++=lesson
plan ^nn++++=plan
for ^in++++=for
teaching ^vb+vsua++xvbg+=teaching
that ^tht+vcmp+++=that
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lesson ^nn++++=lesson
plan ^nn++++=plan
should ^md+nec+++=should
include ^vb++++=include
a ^at++++=a
list ^nn++++=list
of ^in++++=of
objectives ^nns++++=objectives,
, ^zz++++=EXTRAWORD
materials ^nns+nom+++=materials
needed ^vwbn+++xvbn+=needed,
, ^zz++++=EXTRAWORD
activities ^nns+nom+++=activities
and ^cc++++=and
exercises ^nns++++=exercises
for ^in++++=for
the ^ati++++=the
students ^nns++++=students,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
conclusion ^nn++++=conclusion.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
make ^vb++++=make
sure ^jj++++=sure
to ^to+jcmp+++=to
include ^vbi++++=include
tips ^nns++++=tips
for ^in++++=for
engaging ^xvbg+++xvbg+=engaging
students ^nns++++=students
and ^cc++++=and
assessing ^vbg+++xvbg+=assessing
