<file CEP_creative_0044> <domain CREATIVE> <corpus CEP_Dias_2026>
Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi
Niwat ^np+++??+=Niwat,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
reaching ^vbg+++xvbgx+=reaching
out ^rp+pl+++=out
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
would ^md+prd+++=would
be ^vb+be+vrb++=be
interested ^jj+pred+++=interested
in ^in++++=in
a ^at++++=a
job ^nn++++=job
opportunity ^nn+nom+++=opportunity.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
know ^vb+vprv+++=know
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
to ^to++++=to
discuss ^vbi++++=discuss.
. ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks,
, ^zz++++=EXTRAWORD
Dipa ^np+++??+=Dipa
Mukherjee ^np+nom++??+=Mukherjee.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
to ^to++++=to
respond ^vbi++++=respond
to ^in++++=to
this ^dt+dem+++=this
tweet ^nn+++??+=tweet?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
still ^rb++splt++=still
confused ^vpsv++agls+xvbnx+=confused
as ^in++++=as
to ^in"++++=to
how ^wrb+who+++=how
a ^at++++=a
non ^&fw++++=non-profit
- ^zz++++=EXTRAWORD
profit ^nn++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
I ^pp1a+pp1+++=I
donated ^vwbn+++xvbn+=donated
$ ^zz++++=$100
100 ^cd++++=EXTRAWORD
M ^zz++++=M
somehow ^rb++++=somehow
became ^vbd+++xvbn+=became
a ^at++++=a
$ ^zz++++=$30
30 ^cd++++=EXTRAWORD
B ^zz++++=B
market ^nn++++=market
cap ^nn++++=cap
for ^in++++=for-profit.
- ^zz++++=EXTRAWORD
profit ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
legal ^jj+pred+++=legal,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
