<file CEP_creative_0038> <domain CREATIVE> <corpus CEP_Dias_2026>
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
write ^vb++++=write
a ^at++++=a
business ^nns+nom+++=business
poem ^nn++++=poem
for ^in++++=for
Valentine ^np++++=Valentine's
's ^$++++=EXTRAWORD
Day ^nn++++=Day
for ^in++++=for
the ^ati++++=the
social ^jj+atrb+++=social
media ^nn++++=media
platform ^nn++++=platform
Linkedin ^np+++??+=LinkedIn?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
about ^in++++=about
software ^nn+++??+=software
sales ^nns++++=sales.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
it ^pp3+it+++=it
uplifting ^jj++++=uplifting,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
as ^ql++++=as
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
layoffs ^nns+++??+=layoffs
happening ^vwbg+++xvbg+=happening.
. ^zz++++=EXTRAWORD
Zden ^np+++??+=Zden
k ^zz++++=k
Srnsk ^np+++??+=Srnsk.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Zdenek ^np+++??+=Zdenek
the ^ati++++=the
rangers ^nns+nom+++=rangers
apprentice ^nn++++=apprentice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
have ^vb+hv+vrb++=have
a ^at++++=a
long ^rb++++=long
bow ^nn++++=bow
and ^cc++++=and
a ^at++++=a
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
dungeon ^nn++++=dungeon
master ^nn++++=master
and ^cc++++=and
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
playing ^vbg+++xvbgx+=playing
Dnd ^np+++??+=DnD.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
come ^vb++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
campaign ^nn++++=campaign
and ^cc++++=and
play ^nn++++=play
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
own ^ap++++=own
a ^at++++=a
bubble ^nn++++=bubble
tea ^nn++++=tea
shop ^nn++++=shop
in ^in++++=in
Vancouver ^np+nom++??+=Vancouver
Bc ^&fo++++=BC.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
sample ^nn++++=sample
of ^in++++=of
our ^pp$+pp1+++=our
menu ^nn++++=menu
items ^nns++++=items
and ^cc++++=and
later ^rbr+tm+++=later
ask ^vb++++=ask
you ^pp2+pp2+++=you
to ^to++++=to
generate ^nn+nom+++=generate
more ^rbr++++=more
new ^jj+atrb+++=new
ideas ^nns++++=ideas.
. ^zz++++=EXTRAWORD
