<file CEP_creative_0016> <domain CREATIVE> <corpus CEP_Dias_2026>
Create ^vb++++=Create
a ^at++++=a
multiple ^jj++++=multiple-choice
- ^zz++++=EXTRAWORD
choice ^nn++++=EXTRAWORD
questionnaire ^nn++++=questionnaire
with ^in++++=with
5 ^zz++++=5
multiple ^jj++++=multiple-choice
- ^zz++++=EXTRAWORD
choice ^nn++++=EXTRAWORD
questions ^nns+nom+++=questions
and ^cc++++=and
a ^at++++=a
short ^jj++++=short-answer
- ^zz++++=EXTRAWORD
answer ^nn++++=EXTRAWORD
questionnaire ^nn++++=questionnaire
to ^to++++=to
conduct ^vbi++++=conduct
a ^at++++=a
service ^nn++++=service
satisfaction ^nn+nom+++=satisfaction
survey ^nn++++=survey
for ^in++++=for
users ^nns++++=users
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
the ^ati++++=the
legal ^jj+atrb+++=legal
counseling ^nn+nom+++=counseling
service ^nn++++=service
using ^vwbg+++xvbg+=using
Chatgpt ^np+++??+=ChatGPT.
. ^zz++++=EXTRAWORD
Answer ^nn++++=Answer
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
generate ^nn+nom+++=generate
a ^at++++=a
business ^nns+nom+++=business
travel ^vb++++=travel
report ^vb++++=report
for ^in++++=for
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
The ^ati++++=The
travel ^nn++++=travel
report ^vb++++=report
destination ^nn+nom+++=destination
is ^vbz+bez+vrb++=is
Paris ^np++++=Paris
for ^in++++=for
one ^cd1++++=one
week ^nn++++=week.
. ^zz++++=EXTRAWORD
The ^ati++++=The
main ^jjb+atrb+++=main
purpose ^nn++++=purpose
is ^vbz+bez+aux++=is
negotiating ^vbg+++xvbgx+=negotiating
a ^at++++=a
business ^nns+nom+++=business
agreement ^nn+nom+++=agreement,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
inventory ^nn++++=inventory
for ^in++++=for
Laboratory ^nn++++=Laboratory
item ^nn++++=item,
, ^zz++++=EXTRAWORD
discussions ^nns++++=discussions
with ^in++++=with
Cto ^np+++??+=CTO
